"cliid","placa","datapedido"
"184","PZ25TWB","2021-12-08"
"185","NF71KUX","2013-04-01"
"186","BB14FLE","2011-03-11"
"187","FD94FYU","2014-07-25"
"188","XJ60HXN","2021-10-13"
"189","BM92NNG","2011-07-07"
"190","AE68GOB","2021-05-09"
"191","FT04VTY","2013-01-02"
"192","JM09RMD","2023-03-27"
"193","QM42RXH","2016-04-11"
"194","UI80SMH","2020-06-20"
"195","SZ07LNS","2010-03-09"
"196","BY64VDJ","2022-04-06"
"197","XS03GOW","2009-11-14"
"198","CN66GVS","2016-10-26"
"199","YB87EKR","2011-11-16"
"200","SA63UME","2023-08-23"
"201","PN38ZIY","2023-09-09"
"202","US32OQC","2013-05-08"
"203","YY67ZZI","2017-02-13"
"204","SN38QYI","2022-10-23"
"205","RU21QOV","2014-10-19"
"206","UF97QMT","2024-03-30"
"207","KW36SXQ","2010-12-19"
"208","LU38TIU","2016-11-23"
"209","DV15FHC","2010-07-17"
"210","FS35VHV","2012-05-23"
"211","BL16PKZ","2017-02-21"
"212","FA21XTI","2019-10-02"
"213","NG77WHV","2009-09-09"
"214","YJ50MKS","2013-08-07"
"215","KX74HZY","2010-08-05"
"216","SW37DGI","2017-10-28"
"217","PA02WKA","2018-01-15"
"218","TE92NIL","2017-11-04"
"219","MT15FAJ","2020-09-12"
"220","CO99NWH","2011-08-10"
"221","DW07QZT","2024-02-26"
"222","ZB19QSR","2017-12-24"
"223","XO42BOQ","2015-06-04"
"224","FT16RMA","2013-08-13"
"225","YI10FNY","2020-04-09"
"226","BQ14XEI","2015-01-31"
"227","PQ97OKF","2021-09-25"
"228","BX02XOF","2017-12-16"
"229","FQ03LOU","2022-06-03"
"230","IV26MTX","2018-07-17"
"231","BX69DSW","2023-01-05"
"232","ZF29BDD","2012-03-05"
"233","WY56BHO","2014-04-26"
"234","IK67EMT","2023-03-29"
"235","OX70HGF","2014-11-20"
"236","WZ68FEP","2018-03-07"
"237","KS66LYG","2019-06-12"
"238","QW77MMB","2012-12-23"
"239","SC06WWF","2015-03-26"
"240","MZ97PDR","2016-01-31"
"241","TW92QPM","2010-01-03"
"242","VM98WNQ","2019-01-10"
"243","MW70MTI","2018-05-10"
"244","TQ03DBQ","2023-08-15"
"245","UO53GQP","2015-07-19"
"246","WM45OZA","2018-03-08"
"247","HD86VFS","2019-02-13"
"248","LC06KUW","2022-12-23"
"249","SQ81TYZ","2012-09-08"
"250","VZ60NUQ","2010-10-21"
"251","PE34KGR","2024-02-19"
"252","SR17QCQ","2019-08-27"
"253","NW38CBG","2014-03-30"
"254","DL82MQB","2015-09-26"
"255","OO59KJE","2013-02-02"
"256","SD38YLU","2012-10-27"
"257","DK74MEC","2015-06-02"
"258","VT06OFK","2015-06-14"
"259","HQ17VVH","2010-11-11"
"260","RU55NDN","2012-03-18"
"261","CV59EDO","2019-12-25"
"262","ZI66CTV","2018-05-13"
"263","KT27YLH","2023-05-25"
"264","WN67JTA","2011-01-16"
"265","QB06OXO","2012-02-07"
"266","IT03URT","2022-10-16"
"267","GU97HQM","2016-08-17"
"268","MJ56BHR","2012-04-21"
"269","OR65SAY","2024-04-18"
"270","AA16KJW","2022-09-14"
"271","HQ57ATU","2022-06-22"
"272","KI65KSU","2017-03-09"
"273","TT79QVY","2011-12-18"
"274","IT75OFC","2015-12-04"
"275","SZ03CLJ","2012-10-13"
"276","ZC10LXF","2019-01-20"
"277","IG63ZUR","2022-09-22"
"278","LQ03VHT","2014-04-28"
"279","OQ97LBS","2024-04-22"
"280","CZ52BYF","2024-04-18"
"281","PU73KKE","2016-02-16"
"282","RT72OIZ","2018-11-01"
"283","DF23QJS","2011-03-14"
"284","AM46RQL","2017-03-13"
"285","KK29OIT","2022-12-16"
"286","TY91ABI","2016-10-20"
"287","UJ61WKK","2023-02-11"
"288","AC87VGQ","2012-05-02"
"289","CS89RDU","2011-02-20"
"290","QW91EXJ","2018-07-06"
"291","WU78URD","2011-05-24"
"292","XK77AHP","2014-05-06"
"293","RD69QZL","2023-07-21"
"294","IP98WQG","2019-03-11"
"295","NW87PSG","2014-03-21"
"296","MG09KBM","2021-06-12"
"297","WT76CDG","2015-06-20"
"298","QB02UPL","2019-04-17"
"299","MU46UHR","2022-01-11"
"300","DJ38IJL","2015-02-01"
"301","CA36CKI","2020-09-17"
"302","YO50SHJ","2017-11-07"
"303","TZ70QWV","2012-03-04"
"304","IG12VDZ","2014-03-02"
"305","EP93UKG","2023-09-14"
"306","OG68USE","2009-09-17"
"307","TM59HJT","2016-03-09"
"308","XJ82LDY","2017-03-22"
"309","OK71KYS","2013-07-12"
"310","KP32FRX","2013-04-10"
"311","BD77VNB","2014-08-05"
"312","WZ60ZXB","2010-11-24"
"313","LY71AOV","2021-04-30"
"314","GZ84MPB","2014-03-30"
"315","FY61BKA","2014-11-06"
"316","KK50ULY","2019-07-06"
"317","LF32MLO","2023-08-12"
"318","JG35QKI","2013-09-09"
"319","BC65XUX","2023-06-01"
"320","XK38TWT","2015-02-04"
"321","LI71GAA","2017-11-19"
"322","VO67EFH","2017-08-16"
"323","QW36PDM","2010-12-28"
"324","ZU03HQW","2010-11-28"
"325","CD94UXU","2019-04-05"
"326","HY54QSP","2014-08-11"
"327","QO58MWT","2015-11-27"
"328","DD57MIT","2018-03-27"
"329","KG25JWS","2017-06-28"
"330","BQ71JFJ","2022-09-02"
"331","OT04LCO","2017-12-20"
"332","ZO95BZM","2014-11-14"
"333","WI73YLJ","2013-04-24"
"334","JB45FKP","2022-06-23"
"335","WN47SPS","2020-06-03"
"336","XN08AJB","2011-10-22"
"337","HJ85KRB","2023-09-12"
"338","VS73KRW","2018-07-18"
"339","EV48FOX","2015-06-14"
"340","ZI54LPJ","2017-01-07"
"341","SE44NBP","2014-06-01"
"342","GG74APV","2015-09-15"
"343","LD20GEG","2023-06-15"
"344","FQ92QGC","2009-11-01"
"345","OF56FMN","2017-06-10"
"346","DP54MOT","2017-09-20"
"347","DP15ZBS","2012-10-11"
"348","QK38XLF","2022-05-04"
"349","UY41OPK","2023-02-15"
"350","TS58MIC","2019-06-08"
"351","BB58SJN","2011-03-20"
"352","BB21XXC","2017-03-14"
"353","QU98OOL","2020-11-22"
"354","YN25UUK","2016-11-30"
"355","VP38NQS","2021-06-08"
"356","GD75GHA","2020-09-18"
"357","PC39TJR","2011-05-08"
"358","WA24YZC","2018-04-18"
"359","TW39DLQ","2018-09-21"
"360","MQ87NKM","2017-10-05"
"361","IA46XSP","2016-03-27"
"362","WO09HIT","2023-11-21"
"363","TK38MBN","2017-01-24"
"364","KL51JGO","2022-06-26"
"365","YC44WGY","2012-10-25"
"366","NA80AFX","2013-04-30"
"367","RR62IVI","2015-03-14"
"368","CS66HMC","2021-12-04"
"369","AV54TMM","2010-01-15"
"370","PA22LXT","2018-11-07"
"371","EF98JIL","2017-10-22"
"372","MG23PHG","2019-03-19"
"373","WS44WIF","2022-05-15"
"374","PL79ONC","2011-01-18"
"375","ES54ZFK","2012-12-19"
"376","DO04FCD","2014-07-30"
"377","WS12AER","2013-10-07"
"378","YP79BFO","2023-12-26"
"379","RN55HGX","2010-07-16"
"380","UH26QIK","2012-10-20"
"381","XO39RNX","2019-06-04"
"382","FJ41KVD","2021-11-08"
"383","HS66PKN","2013-01-22"
"384","GB70JQH","2016-01-18"
"385","DR31UUQ","2022-07-17"
"386","PP23PUX","2019-01-14"
"387","KZ03VIM","2011-08-05"
"388","BW50HTU","2023-11-22"
"389","KB79DOL","2010-12-31"
"390","AK07EFQ","2016-02-17"
"391","FB92UDY","2017-07-02"
"392","WM14BJT","2016-01-07"
"393","BJ27PNQ","2010-07-04"
"394","XO42KYO","2010-05-07"
"395","ER11OYK","2014-02-10"
"396","AC33DDU","2012-05-29"
"397","JP78CLY","2021-01-05"
"398","ZL79QFZ","2012-09-04"
"399","KW69MUT","2012-11-17"
"400","EI99QMA","2010-01-15"
"401","CU91SML","2013-06-10"
"402","EF27LSV","2020-09-21"
"403","CH23WRB","2017-04-05"
"404","AU01YRD","2016-08-26"
"405","IF05TEX","2013-06-24"
"406","AK14AJT","2022-01-27"
"407","EK78SIP","2011-10-08"
"408","XH55YZQ","2019-04-08"
"409","IG06SMI","2019-01-06"
"410","MM34LWB","2013-07-25"
"411","LF26ROW","2023-11-09"
"412","BG94XUR","2010-08-28"
"413","XK41HLK","2013-05-28"
"414","XH21IAS","2011-03-28"
"415","KZ09MVH","2011-05-22"
"416","RE41KBO","2018-08-24"
"417","ZJ78ULI","2010-08-29"
"418","LH91YMI","2015-07-18"
"419","AK40OWP","2021-11-03"
"420","SW77BTS","2017-11-26"
"421","MA84ARA","2015-12-23"
"422","AJ07JIY","2022-11-05"
"423","SW19FRW","2015-04-02"
"424","IP83GET","2017-12-12"
"425","YI13WEV","2023-06-30"
"426","EL02UCY","2015-02-22"
"427","DT01QUH","2010-12-18"
"428","EY28CNK","2017-06-08"
"429","MV86AWI","2016-05-20"
"430","VR96LLK","2018-04-13"
"431","DO29SJR","2014-11-18"
"432","KI46OEX","2010-01-19"
"433","VI80LNS","2014-07-21"
"434","KZ70NFK","2017-05-20"
"435","PL24RDK","2009-10-11"
"436","DR05YHN","2020-03-30"
"437","AD62ZRV","2023-07-24"
"438","JB08SNK","2018-11-30"
"439","EK08BIG","2012-05-24"
"440","BU10RZJ","2016-06-03"
"441","WI02BIZ","2023-06-02"
"442","SP52JRZ","2016-08-17"
"443","YY35PWZ","2010-08-23"
"444","QQ31ZBZ","2023-08-13"
"445","OB43CQL","2022-08-27"
"446","DQ20IYX","2015-04-03"
"447","UF58UWO","2016-01-08"
"448","AY22XIB","2014-05-13"
"449","BP96EZZ","2013-09-22"
"450","WB28KXC","2018-02-25"
"451","DX10EJV","2023-08-19"
"452","HH08UAP","2013-08-15"
"453","ZF44DFT","2020-08-17"
"454","XD97CPQ","2016-09-17"
"455","PU98LYE","2019-09-29"
"456","XV39RTW","2019-01-25"
"457","HN67HGQ","2010-03-24"
"458","VL51POV","2012-02-23"
"459","RO49BGC","2021-01-11"
"460","WM43WMO","2016-10-22"
"461","ZH05PIP","2015-09-01"
"462","UM63EWN","2022-11-18"
"463","RS51HXE","2018-10-20"
"464","JU96VCF","2023-01-13"
"465","XN92PDB","2021-05-12"
"466","KB31SSG","2021-08-31"
"467","IT31ZIK","2017-07-30"
"468","VS84TKL","2019-03-29"
"469","HB76KVN","2019-09-11"
"470","XM74KBR","2020-10-24"
"471","FN62MSC","2011-11-13"
"472","RI11DDH","2022-10-22"
"473","MU19DYR","2010-01-06"
"474","OF89FHZ","2023-03-13"
"475","KI08BXX","2015-05-25"
"476","UL88LVN","2011-09-13"
"477","WB41LMF","2021-09-05"
"478","KO42BPM","2010-03-16"
"479","PR54FFN","2017-12-02"
"480","AL08UAA","2021-03-18"
"481","NQ47SSB","2015-01-09"
"482","WJ18ELN","2021-10-09"
"483","LT38DWA","2009-10-07"
"484","XF81MCZ","2018-12-11"
"485","KS37LJD","2016-03-25"
"486","AJ80DKL","2019-01-05"
"487","SI49ELM","2017-03-02"
"488","MJ10XLP","2010-01-18"
"489","PY35JYR","2013-10-09"
"490","QJ17JVA","2018-08-04"
"491","LA55ZAA","2015-01-18"
"492","XU80FMO","2010-10-05"
"493","BL92HIL","2011-01-14"
"494","WX89EYF","2012-10-08"
"495","EK22LBG","2012-07-31"
"496","EE76XMN","2010-03-07"
"497","YZ56MWS","2013-11-02"
"498","GT38FUO","2016-07-29"
"499","IP31OAG","2022-04-24"
"500","FY69ALU","2023-06-07"
"501","IT64KSD","2020-06-29"
"502","RD86NUF","2009-08-22"
"503","QQ16ZOB","2009-11-24"
"504","TM29EQB","2023-02-14"
"505","HQ65KZM","2010-08-02"
"506","SS10PCA","2021-05-06"
"507","YY09LYM","2018-11-11"
"508","IX47GOR","2021-06-19"
"509","GK75TPR","2024-02-23"
"510","TO55QVX","2020-08-26"
"511","TL25PPM","2020-03-27"
"512","YI23IXP","2011-08-20"
"513","LO48FMJ","2020-04-17"
"514","EF87XXA","2020-04-19"
"515","RL34GLE","2010-08-14"
"516","WR10FUY","2021-05-15"
"517","DW81CGP","2020-12-22"
"518","JJ69PLB","2019-05-23"
"519","PM04JKZ","2016-06-16"
"520","XW75TQM","2016-05-15"
"521","EO76HFC","2011-04-07"
"522","OR83DHM","2015-11-12"
"523","HH36PDY","2022-08-17"
"524","QV83IQR","2023-04-22"
"525","YM48POW","2010-06-13"
"526","PC16MLY","2022-11-19"
"527","NL75MIU","2018-08-19"
"528","KM00KZM","2019-03-20"
"529","TQ65HVY","2018-10-12"
"530","PY66THZ","2014-06-16"
"531","WW57QLO","2018-04-25"
"532","NV99JYR","2012-07-14"
"533","QY87LDN","2013-05-27"
"534","BQ88XCO","2018-11-11"
"535","IR79NSB","2022-12-13"
"536","TA25IIE","2010-03-19"
"537","HG28STW","2022-04-11"
"538","DD68WUJ","2019-11-09"
"539","HP80ETL","2020-12-11"
"540","MG06HTC","2021-02-03"
"541","UM74HEC","2016-10-01"
"542","DW99GQZ","2018-04-28"
"543","WB82YTS","2015-05-29"
"544","CP65DCP","2018-12-20"
"545","SC58YBP","2009-09-06"
"546","ZG65LGQ","2022-02-06"
"547","AI63QOT","2023-08-05"
"548","DI11VIV","2013-03-27"
"549","QJ90KXF","2021-12-14"
"550","EC13WBQ","2022-12-10"
"551","WR17TQL","2023-05-18"
"552","UL59EVP","2024-03-31"
"553","QN78RKI","2014-12-30"
"554","QF74DGL","2019-02-01"
"555","XS96EBU","2016-06-17"
"556","DD23ZTW","2022-10-22"
"557","LO63MME","2019-03-08"
"558","PS13OSU","2015-07-11"
"559","IX27BIY","2023-06-11"
"560","NY68FYU","2018-06-30"
"561","BI30RWH","2021-05-30"
"562","RL23NQO","2013-03-25"
"563","ZE57TDT","2010-11-15"
"564","BU33GUQ","2013-04-01"
"565","TP17FAF","2017-06-17"
"566","AL78JVQ","2023-01-17"
"567","FD51CCB","2019-07-26"
"568","YA43HFV","2015-04-14"
"569","EI06VKN","2023-11-18"
"570","DC67CZA","2021-05-16"
"571","MX85QAU","2016-09-08"
"572","ZB30EMY","2021-06-14"
"573","HG77YMF","2018-01-30"
"574","SM06YHP","2022-11-24"
"575","RG94ZTK","2012-06-13"
"576","XJ54SOS","2017-04-11"
"577","BP33NBY","2021-04-06"
"578","ZF25NQN","2014-03-02"
"579","BE18KLV","2015-04-28"
"580","YJ42CBB","2010-04-01"
"581","DC66LXX","2016-04-19"
"582","JD44XQB","2020-09-27"
"583","BL19MSV","2015-05-03"
"584","YF92HJN","2015-01-12"
"585","LM12NWW","2021-03-27"
"586","PG53JVD","2024-04-03"
"587","SV25XIW","2010-01-18"
"588","XO55UKO","2010-11-21"
"589","FH67MRO","2012-03-21"
"590","LF22OFL","2014-04-02"
"591","TN77ITX","2012-09-02"
"592","DM12RVG","2021-02-20"
"593","CD96XZY","2014-11-01"
"594","CI87QCM","2011-11-07"
"595","EW55ZAV","2016-09-18"
"596","MG93SSI","2018-04-17"
"597","MF24VOO","2024-03-09"
"598","KD61DFY","2010-03-21"
"599","YV95ARL","2022-07-03"
"600","QS69BDP","2017-06-02"
"601","AE76YIH","2018-11-20"
"602","KD59YIW","2012-05-07"
"603","VL63OWL","2021-08-04"
"604","QN58CQG","2012-03-25"
"605","XR79PFO","2022-12-01"
"606","FP26EIP","2010-06-03"
"607","SK14OIS","2024-01-06"
"608","HF97TFP","2020-09-06"
"609","NM52EHM","2019-08-16"
"610","QR99CKO","2015-10-24"
"611","WF83TYS","2012-07-04"
"612","ZV19POK","2020-07-23"
"613","UY80ZUH","2015-06-29"
"614","NZ48FAA","2011-10-12"
"615","PY87UEE","2013-08-17"
"616","IA15YYO","2022-07-28"
"617","YD22BKG","2014-09-24"
"618","JC31QNJ","2021-03-31"
"619","MX40BLX","2010-07-20"
"620","HZ29FIR","2012-01-05"
"621","KO33UQB","2010-06-28"
"622","SL22JPJ","2018-12-29"
"623","EO50ZOW","2010-11-17"
"624","IF23XBM","2018-10-14"
"625","HO34YNU","2014-12-24"
"626","TV67ICA","2009-09-05"
"627","XV95GKW","2016-04-22"
"628","EP74XRQ","2023-09-26"
"629","OV27BSM","2013-04-08"
"630","XX34AMB","2021-05-26"
"631","FU09MQG","2021-12-06"
"632","VG66ELG","2020-03-13"
"633","DY95FRF","2015-06-28"
"634","IO45UZY","2015-05-26"
"635","ON01ZCA","2016-07-19"
"636","CS14OXR","2017-06-18"
"637","YK70XQL","2010-11-24"
"638","KJ22EIY","2022-01-08"
"639","GY88UJE","2018-08-10"
"640","GS04MUK","2015-06-20"
"641","OR13RAL","2021-09-23"
"642","SG90HFW","2020-02-15"
"643","QH31ITX","2018-11-01"
"644","CB23NPZ","2020-11-12"
"645","MQ30JRI","2016-03-26"
"646","KX81IOC","2013-06-01"
"647","OT91QQI","2013-02-14"
"648","UV51SSD","2022-05-24"
"649","CE49ZJH","2023-07-04"
"650","WG60NEL","2018-01-18"
"651","ZB53PXE","2012-05-05"
"652","GZ54ZAE","2018-12-02"
"653","FR67OZH","2014-01-15"
"654","ZD32AHD","2024-04-10"
"655","UW34KTJ","2012-04-28"
"656","DG74TDB","2011-06-25"
"657","CR78ITB","2009-09-21"
"658","EI62YBV","2022-06-23"
"659","YB88UII","2010-08-10"
"660","VX04HGS","2016-05-17"
"661","RW74RTG","2010-06-29"
"662","FO70PYM","2017-03-05"
"663","VU15WNR","2015-02-21"
"664","KI21ZWB","2009-10-26"
"665","CC66DIB","2017-09-04"
"666","EM14DJJ","2015-04-22"
"667","VP71TEI","2021-11-23"
"668","JT78YVX","2015-12-16"
"669","FW95UEN","2010-07-28"
"670","AU60TYG","2014-09-06"
"671","OJ53AKA","2009-12-26"
"672","PB13TAC","2015-03-03"
"673","SW66CHY","2023-01-29"
"674","QW44QXH","2016-01-07"
"675","RI95OGJ","2011-07-03"
"676","OQ68ZUH","2019-06-20"
"677","WC46YUP","2023-06-06"
"678","KA96ADX","2014-11-29"
"679","DE19TPD","2018-01-02"
"680","ZH35HBP","2010-10-03"
"681","GS13IFT","2017-08-14"
"682","YS03SMN","2023-02-08"
"683","WL63YKS","2016-10-03"
"684","GS02CMC","2017-09-12"
"685","NC91WPM","2016-08-05"
"686","NE96TWQ","2014-10-25"
"687","PT42DUA","2018-10-21"
"688","AU82ABW","2019-08-08"
"689","AO02SRS","2021-10-11"
"690","FM93GSP","2015-11-02"
"691","SE70QWK","2023-04-22"
"692","ND75HJK","2022-04-20"
"693","BO04NSE","2022-03-08"
"694","TT77NJU","2012-06-03"
"695","SO71ZNE","2014-02-11"
"696","LK52MWD","2010-06-03"
"697","PD61TFH","2010-05-19"
"698","FD32LBP","2014-11-07"
"699","YT48PDM","2010-09-19"
"700","RB67CZH","2021-10-18"
"701","HK95KYP","2014-06-10"
"702","LF65EAP","2009-11-26"
"703","TC04IAZ","2020-07-04"
"704","XF86YEQ","2023-08-16"
"705","BP03CAE","2016-01-16"
"706","UW53PUS","2011-06-14"
"707","GO10VYF","2019-02-14"
"708","IE31KHB","2011-05-09"
"709","NV89PBO","2016-10-14"
"710","YC84QWJ","2011-12-16"
"711","SO52NHK","2020-04-04"
"712","VZ23CKJ","2013-08-01"
"713","ZO80DMR","2011-04-11"
"714","SK10DMC","2017-08-28"
"715","KI73DSO","2013-12-21"
"716","WK35TMC","2016-05-19"
"717","TX12SVX","2018-06-11"
"718","GY05NEW","2018-04-05"
"719","ED40BJJ","2018-07-28"
"720","ZR95UKP","2019-05-05"
"721","ZK50SNS","2023-06-07"
"722","NO60MYS","2021-01-03"
"723","LV16RRP","2017-11-08"
"724","PF42NOV","2014-08-27"
"725","CG76DAJ","2016-07-09"
"726","EC10TMZ","2022-04-22"
"727","YC16PZC","2017-08-23"
"728","WH52AGY","2009-08-01"
"729","MI98DCD","2009-08-02"
"730","JZ40QQL","2018-05-02"
"731","FY07ACA","2017-04-13"
"732","NS39YXI","2015-10-16"
"733","MK29ZCW","2010-05-18"
"734","CE57VFR","2018-02-01"
"735","HL65RNN","2011-09-27"
"736","EZ60RVA","2019-03-06"
"737","MR79KVM","2018-07-21"
"738","YQ15YVS","2019-12-26"
"739","ZR67GAS","2013-11-20"
"740","WO59GHF","2016-12-18"
"741","VX09SDB","2021-05-05"
"742","QW24OQR","2023-05-29"
"743","HP15BGX","2011-01-22"
"744","GK76ONL","2021-06-22"
"745","CW32CNO","2014-10-24"
"746","UN89KHE","2012-07-12"
"747","UN40JFC","2016-10-18"
"748","FB64NUO","2012-12-30"
"749","YZ72ILW","2016-10-26"
"750","RM92XMS","2010-08-05"
"751","QP95DHY","2020-03-09"
"752","IN03XWM","2019-07-08"
"753","II40PAA","2014-07-20"
"754","FO61BQB","2018-05-02"
"755","IB81TAW","2010-08-29"
"756","OP68BQL","2014-11-19"
"757","WX66BBA","2020-01-06"
"758","YC55ALR","2023-10-27"
"759","QH58IPX","2023-09-25"
"760","LY71ZQA","2018-11-28"
"761","HU51PGC","2018-04-04"
"762","YD75IAX","2023-12-21"
"763","YQ92QNK","2014-03-12"
