"placa","marca","modelo","anofab","licenca"
"XQ54URU","Ford","Charger",2022,"pSWLkTCg"
"LZ27BTZ","Fiat","Civic",2013,"pFrffekO"
"GL58RNZ","Lamborghini","911",2022,"avzMgrWb"
"QS92TXU","Aston Martin","Fiesta",2010,"tGaEvwIc"
"HX01LNJ","Aston Martin","Camaro",2014,"VAVTXVKy"
"QM70AYA","Mini","A8",2017,"wcCIXaTd"
"KR25PSC","Rolls Royce","Camry",2021,"BWjscJSH"
"YI24UIK","Rolls Royce","Model S",2011,"wyzQtlYn"
"FE80ZJO","Volvo","Taurus",2015,"kZxloJjt"
"ZX58BYP","Nissan","Camaro",2011,"uOmsTHMt"
"ZK62OJH","BMW","911",2024,"EitwmQMP"
"DV51ARH","Jaguar","Model S",2016,"uHuqRswp"
"KQ74MES","Aston Martin","Civic",2016,"tWFPbWnk"
"CZ30EDP","Jaguar","PT Cruiser",2014,"vDxGGVuc"
"OW24PNY","Porsche","Charger",2019,"XurwmVUJ"
"PB09WXL","Chevrolet","Altima",2013,"zTsrjVFl"
"KI33ZMQ","Land Rover","Volt",2015,"kcGVExHw"
"VU73PAM","Hyundai","Camry",2018,"hbnAgYXR"
"WP94XQZ","Nissan","Corvette",2018,"lWIVidxv"
"UR11GWO","Kia","Model Y",2022,"VaAYYVSa"
"JD43GAK","Land Rover","Roadster",2015,"CaAbapcg"
"MM62UCG","Aston Martin","Altima",2017,"sLpnCEWY"
"JB66KOR","Cadillac","Grand Cherokee",2024,"fySjSOOQ"
"KS21HYU","Jeep","Model 3",2011,"psmBWqVo"
"LE48RLL","Toyota","Model X",2019,"laqPeqCS"
"DO67ESS","Volvo","A4",2014,"rXgtOtzg"
"QS70KXP","Chevrolet","Sentra",2015,"beYVXLfQ"
"XF17AQJ","Tesla","Camaro",2014,"vNURcvKY"
"GZ37DTJ","Volvo","Model 3",2022,"gpwqazym"
"XT40TJC","Hyundai","Fortwo",2013,"IsEOtdvF"
"BT79FEU","BMW","Civic",2014,"AiiqPYbN"
"CJ43ZCL","Mercedes Benz","Impala",2011,"glMLJZvn"
"TU96SHW","Jaguar","Model S",2016,"ZfWwdwsf"
"KW22HWD","Bugatti","911",2018,"kOEPNqgA"
"IO98UFL","Maserati","Model Y",2011,"JiArLzcu"
"ID89HGC","BMW","Wrangler",2015,"yKupAJoN"
"MF50LGC","Smart","Escalade",2011,"wXyYWmTo"
"GS22ANK","Volkswagen","LeBaron",2021,"OcsGdXzx"
"RD40GIU","Audi","Fiesta",2015,"sUZQPGHe"
"CP31CCL","Mini","Model X",2023,"eqoikwZn"
"HJ27YQH","Ferrari","XTS",2019,"bildzRkD"
"UL00XBI","Cadillac","Grand Cherokee",2021,"GCbVPtWJ"
"QA71OXC","Chrysler","Camry",2020,"ewdCtNiU"
"UL40LZV","Bentley","Mercielago",2015,"rjfjJMeM"
"HJ05IOI","Maserati","Corvette",2021,"poEzITHa"
"SW16DCC","Polestar","Camry",2020,"cGArXJIB"
"BA58KYE","Bentley","XC90",2021,"zkCIVxsw"
"FP37XKS","Audi","Escalade",2015,"jDaXlwAs"
"GQ84DUM","Rolls Royce","Fortwo",2019,"ZgjONhKR"
"TG44HZB","Polestar","LeBaron",2017,"JUrmxHei"
"VU92ICP","Maserati","Charger",2023,"zNNdIcrS"
"VC55EJO","Porsche","Jetta",2021,"uhsBicyU"
"HW14XNV","Ford","Sentra",2011,"QRQqyDtw"
"AS46QWH","Fiat","Civic",2023,"tYdaofyR"
"FX13NCZ","Aston Martin","Roadster",2013,"DvhIueLK"
"LK59HSO","Audi","Beetle",2020,"wOsMUKzU"
"KD20JNG","Honda","Volt",2017,"xeUoeHTd"
"GA89EIQ","Rolls Royce","Sentra",2016,"mDDtqsLO"
"AQ20JBI","Hyundai","Model 3",2021,"SgOQzcow"
"FR91SZY","Porsche","Spyder",2018,"UploWWmG"
"JU50LZR","Rolls Royce","Explorer",2013,"ZHKtADWc"
"TK58AAB","Mercedes Benz","Volt",2015,"VZIXlVbX"
"XZ92TXQ","Audi","CX-9",2014,"sHnUOXkO"
"OY05GUT","Fiat","Land Cruiser",2016,"FUtASyGl"
"BI00AFS","Hyundai","Model S",2016,"mLTWgbCD"
"BI47AQE","Mini","Focus",2018,"REVpHpCc"
"PZ25TWB","Chevrolet","Model 3",2014,"wYfeoFuo"
"NF71KUX","BMW","Fiesta",2017,"RmUCNLlv"
"BB14FLE","Ferrari","Explorer",2014,"QmTshRMS"
"FD94FYU","Honda","Model Y",2011,"VeiaDgNh"
"XJ60HXN","Rolls Royce","Colorado",2018,"IoJDcrea"
"BM92NNG","Aston Martin","XTS",2014,"sSuJvapC"
"AE68GOB","Toyota","Model Y",2015,"nSmyTCsJ"
"FT04VTY","Polestar","Wrangler",2018,"TysvMNxL"
"JM09RMD","Audi","Grand Caravan",2016,"IxQujeCU"
"QM42RXH","Cadillac","Wrangler",2016,"VuAZkyzA"
"UI80SMH","Bentley","Explorer",2016,"OBaAEPFf"
"SZ07LNS","Chrysler","Escalade",2021,"iOiCxwUf"
"BY64VDJ","Maserati","Volt",2012,"pGVcZdof"
"XS03GOW","Audi","Cruze",2011,"RMPUyPyR"
"CN66GVS","Hyundai","Silverado",2020,"aUZkvlSm"
"YB87EKR","Rolls Royce","Camry",2022,"YhmZZRtd"
"SA63UME","Fiat","Civic",2010,"XKGSsgVR"
"PN38ZIY","Jeep","XC90",2021,"KHIudCif"
"US32OQC","Volkswagen","Accord",2023,"XChkNGlc"
"YY67ZZI","Smart","Element",2022,"AvCtDqqc"
"SN38QYI","Mazda","Jetta",2014,"FoScYXER"
"RU21QOV","Porsche","Golf",2019,"bDedkDvy"
"UF97QMT","Smart","CTS",2022,"npBisfbA"
"KW36SXQ","Jeep","Civic",2020,"cLlRoQsv"
"LU38TIU","Hyundai","A4",2022,"VBEQOrZX"
"DV15FHC","Audi","Model T",2021,"mUAdaIOO"
"FS35VHV","Cadillac","Volt",2017,"PyPUZGvP"
"BL16PKZ","Bentley","Element",2023,"osVWsHiy"
"FA21XTI","Lamborghini","Civic",2013,"iIMOkGOo"
"NG77WHV","Jaguar","El Camino",2020,"ELCDqtpa"
"YJ50MKS","Audi","Beetle",2016,"IQRmeviS"
"KX74HZY","Jeep","Roadster",2020,"jCOcTUpk"
"SW37DGI","Bugatti","Volt",2020,"ZKgQRGBF"
"PA02WKA","Toyota","Expedition",2018,"sccxNnFB"
"TE92NIL","Lamborghini","Mustang",2011,"kSdnkLzb"
"MT15FAJ","Bentley","CX-9",2010,"GnXrkYYw"
"CO99NWH","Jeep","Expedition",2021,"UCMULqKM"
"DW07QZT","Honda","Altima",2024,"cAeEfnLg"
"ZB19QSR","Tesla","Mercielago",2014,"PzGhdNPG"
"XO42BOQ","Mercedes Benz","XC90",2018,"gQHdEwWz"
"FT16RMA","Maserati","911",2010,"XUhfiNBw"
"YI10FNY","BMW","Beetle",2012,"RDOsoBpN"
"BQ14XEI","Land Rover","1",2023,"ivDBvFcK"
"PQ97OKF","Smart","Accord",2017,"jWMcgVsS"
"BX02XOF","Fiat","Cruze",2019,"XHAvfkjF"
"FQ03LOU","Tesla","Durango",2019,"FKwzcXWo"
"IV26MTX","Ford","ATS",2022,"rxutKZrD"
"BX69DSW","Mazda","Model S",2017,"GuiriWqE"
"ZF29BDD","Porsche","LeBaron",2013,"FOCUHYGZ"
"WY56BHO","Chevrolet","Model X",2018,"ONScZuEy"
"IK67EMT","Ford","Jetta",2011,"psFrKWtl"
"OX70HGF","Toyota","V90",2019,"PMfghZDV"
"WZ68FEP","Volvo","Grand Caravan",2014,"loDNSsav"
"KS66LYG","Mini","Model 3",2014,"kSvtCADm"
"QW77MMB","Polestar","Prius",2011,"RugzxlEJ"
"SC06WWF","Hyundai","Alpine",2023,"iiRKxLAI"
"MZ97PDR","Tesla","Civic",2017,"ccJLdeni"
"TW92QPM","Bentley","Ranchero",2012,"mHPRaoZL"
"VM98WNQ","Hyundai","XC90",2021,"KNIPtZYd"
"MW70MTI","Kia","V90",2011,"UACAlbOd"
"TQ03DBQ","Ford","CTS",2024,"tfzRuPsQ"
"UO53GQP","Volvo","Land Cruiser",2016,"DGxABNjA"
"WM45OZA","Smart","Challenger",2018,"hXmSWwWn"
"HD86VFS","Jeep","Malibu",2011,"HlQXuirp"
"LC06KUW","Chevrolet","Roadster",2015,"CItndZCe"
"SQ81TYZ","Bentley","Aventador",2011,"YCrKCcMb"
"VZ60NUQ","Nissan","Impala",2016,"JUNYgBmK"
"PE34KGR","Dodge","Element",2015,"PULUggON"
"SR17QCQ","Toyota","Model X",2015,"DrDCWizO"
"NW38CBG","Volvo","Aventador",2018,"GGYLdTyY"
"DL82MQB","Polestar","Colorado",2022,"rAIDmwsk"
"OO59KJE","Aston Martin","Model Y",2024,"IEMxcqTn"
"SD38YLU","Chevrolet","A4",2011,"EazXxoJm"
"DK74MEC","Nissan","Durango",2021,"rnpdvyfd"
"VT06OFK","Bugatti","Civic",2023,"ROabKgWK"
"HQ17VVH","Lamborghini","Land Cruiser",2024,"yUVpMQNe"
"RU55NDN","Ford","XC90",2014,"wBPhaDkg"
"CV59EDO","Toyota","Aventador",2017,"EOcjaCVu"
"ZI66CTV","Volkswagen","LeBaron",2018,"FRNqGbOB"
"KT27YLH","Aston Martin","Land Cruiser",2022,"JNIUkiPE"
"WN67JTA","Ford","Model T",2023,"bfgzCUgk"
"QB06OXO","Mercedes Benz","Colorado",2019,"HPGUqRfA"
"IT03URT","Maserati","Ranchero",2017,"DFkfhgyG"
"GU97HQM","Mercedes Benz","911",2018,"IbEmjpTc"
"MJ56BHR","Toyota","Ranchero",2020,"mSjPnBjT"
"OR65SAY","Honda","Wrangler",2021,"QgBaElZR"
"AA16KJW","Lamborghini","Alpine",2012,"sjuWSRcx"
"HQ57ATU","Lamborghini","Accord",2023,"vyWPMLGP"
"KI65KSU","Lamborghini","F-150",2020,"HYYmalUU"
"TT79QVY","Lamborghini","Focus",2013,"XqAQxdgm"
"IT75OFC","Mazda","V90",2020,"vpKHzCrl"
"SZ03CLJ","Hyundai","Grand Cherokee",2023,"JSgOPiHF"
"ZC10LXF","BMW","LeBaron",2023,"doWbvpuU"
"IG63ZUR","Dodge","Spyder",2016,"WtpvQifF"
"LQ03VHT","Polestar","2",2014,"AmIoXiFM"
"OQ97LBS","Mercedes Benz","Cruze",2014,"gXZHhXKw"
"CZ52BYF","Chrysler","Taurus",2015,"nnZspCBy"
"PU73KKE","Porsche","Durango",2019,"wWNSdgMj"
"RT72OIZ","Dodge","Sentra",2017,"oTZOdjyO"
"DF23QJS","Aston Martin","Accord",2010,"bUJliBWW"
"AM46RQL","Jaguar","Corvette",2011,"piCDDiTm"
"KK29OIT","Cadillac","LeBaron",2016,"YEFMxuKh"
"TY91ABI","BMW","Roadster",2018,"nTFBYVcD"
"UJ61WKK","Chevrolet","Expedition",2013,"fxsWCsrf"
"AC87VGQ","Maserati","Altima",2022,"XVncDkZU"
"CS89RDU","Audi","Camaro",2018,"QcGBKjEO"
"QW91EXJ","Volvo","Malibu",2015,"ZAHbMpGR"
"WU78URD","Hyundai","Explorer",2016,"GGdmdaKb"
"XK77AHP","Cadillac","Mercielago",2014,"TYlfobNO"
"RD69QZL","Hyundai","Aventador",2020,"ZitORgAm"
"IP98WQG","Lamborghini","Model X",2015,"GZOeebjN"
"NW87PSG","Kia","Colorado",2016,"MgdzJguY"
"MG09KBM","Chrysler","Volt",2015,"uAWzKYXu"
"WT76CDG","Volkswagen","Civic",2020,"CpEbnlzH"
"QB02UPL","Chevrolet","Volt",2019,"yQNJvexx"
"MU46UHR","Smart","Explorer",2014,"XrremZsU"
"DJ38IJL","Tesla","Taurus",2017,"FUKhYMfZ"
"CA36CKI","Smart","V90",2020,"PIZvLkJk"
"YO50SHJ","Toyota","XC90",2020,"XqRKRvNk"
"TZ70QWV","Bentley","Ranchero",2019,"UQyZnTkJ"
"IG12VDZ","Lamborghini","A4",2016,"gCOanljX"
"EP93UKG","Kia","Charger",2023,"CVLVUIhZ"
"OG68USE","Ferrari","Durango",2023,"zhBEtSou"
"TM59HJT","Hyundai","Escalade",2022,"xsVYmwIV"
"XJ82LDY","Kia","Grand Caravan",2014,"eApLjXlB"
"OK71KYS","Chevrolet","911",2012,"sePUvGKZ"
"KP32FRX","Kia","CX-9",2017,"okTwZnfo"
"BD77VNB","Bentley","Jetta",2013,"ysnzSiVY"
"WZ60ZXB","Rolls Royce","2",2010,"xiXISHEX"
"LY71AOV","Ford","XTS",2024,"XlBSecMO"
"GZ84MPB","Polestar","Element",2023,"GdWWEsEq"
"FY61BKA","Chevrolet","XC90",2018,"HzAZCZrH"
"KK50ULY","Porsche","Fortwo",2013,"cjmeCAnf"
"LF32MLO","BMW","Spyder",2014,"KrXqeSXG"
"JG35QKI","Fiat","LeBaron",2011,"DvgnICwf"
"BC65XUX","Dodge","V90",2011,"jvitLFhE"
"XK38TWT","Lamborghini","A8",2015,"HBZbHqPi"
"LI71GAA","Toyota","F-150",2011,"FdXavaUU"
"VO67EFH","Volvo","Durango",2024,"gsMowinI"
"QW36PDM","Mini","Focus",2011,"tpTtZFCL"
"ZU03HQW","Ford","Wrangler",2012,"qCmojsZT"
"CD94UXU","Maserati","2",2013,"FXPYjOKb"
"HY54QSP","Lamborghini","A4",2020,"KegPsANm"
"QO58MWT","Bugatti","Jetta",2014,"xdPsAgai"
"DD57MIT","Jeep","Golf",2015,"XoTWhLJA"
"KG25JWS","Ford","Focus",2021,"HQdDpHsm"
"BQ71JFJ","Honda","A8",2022,"srimGSsQ"
"OT04LCO","Cadillac","Model Y",2012,"EGPvLMHI"
"ZO95BZM","Mercedes Benz","Model S",2021,"oBqKLIcY"
"WI73YLJ","Mazda","Silverado",2010,"BgwOmPMx"
"JB45FKP","Nissan","Focus",2012,"qyegkdit"
"WN47SPS","Hyundai","911",2023,"QdWyyLqJ"
"XN08AJB","Ferrari","Countach",2017,"oKVgEmkY"
"HJ85KRB","Jaguar","Grand Cherokee",2022,"QgJPgznH"
"VS73KRW","Polestar","CX-9",2016,"qeLidVxU"
"EV48FOX","Bugatti","Expedition",2022,"NieqbHcN"
"ZI54LPJ","Lamborghini","A8",2012,"mPXCgdGc"
"SE44NBP","Chevrolet","F-150",2012,"gygpyWuh"
"GG74APV","Jeep","911",2016,"vlUzLVvm"
"LD20GEG","Ford","Wrangler",2021,"xWhtjYft"
"FQ92QGC","Mercedes Benz","Volt",2022,"FdPWvTQF"
"OF56FMN","Jeep","Grand Caravan",2012,"IQmQJHTI"
"DP54MOT","BMW","Accord",2020,"kMedSbtN"
"DP15ZBS","Mazda","Jetta",2017,"lDBxaVfR"
"QK38XLF","Rolls Royce","Prius",2016,"VpszivGK"
"UY41OPK","Toyota","Camaro",2021,"biYkMFvu"
"TS58MIC","Rolls Royce","Fiesta",2014,"WabuSzxh"
"BB58SJN","Lamborghini","1",2014,"fzwUDqUC"
"BB21XXC","Toyota","Cruze",2018,"MPJBScjv"
"QU98OOL","Aston Martin","Sentra",2013,"ScjABHMD"
"YN25UUK","Mini","Explorer",2016,"KupUmfgj"
"VP38NQS","Rolls Royce","Land Cruiser",2022,"ECJDmSOk"
"GD75GHA","Chevrolet","Silverado",2016,"FWGBlJMS"
"PC39TJR","Mercedes Benz","1",2021,"lEdxvpDB"
"WA24YZC","Jeep","Golf",2016,"yfbyvLId"
"TW39DLQ","Kia","V90",2022,"JyixgGhy"
"MQ87NKM","Ferrari","Model T",2020,"dhwokWEz"
"IA46XSP","Toyota","Mustang",2022,"HPkbHMLl"
"WO09HIT","Toyota","Accord",2021,"NwvqqmCD"
"TK38MBN","Bugatti","Golf",2011,"NpxpiugR"
"KL51JGO","Dodge","Corvette",2017,"mtyHRXsL"
"YC44WGY","Cadillac","Volt",2012,"mUeXDwWP"
"NA80AFX","Land Rover","Silverado",2018,"WbvmOPaU"
"RR62IVI","Honda","Countach",2014,"vEOjFgQP"
"CS66HMC","Toyota","CX-9",2014,"VAGLPcVO"
"AV54TMM","Chrysler","Malibu",2012,"tqaDzBon"
"PA22LXT","Lamborghini","Corvette",2011,"yVSypaFF"
"EF98JIL","Maserati","Taurus",2021,"OjsQOcFv"
"MG23PHG","Ferrari","Grand Caravan",2023,"qFQMWzAd"
"WS44WIF","Lamborghini","Model S",2015,"WwFqcVlj"
"PL79ONC","Smart","Focus",2010,"OQTVaoTL"
"ES54ZFK","Fiat","Charger",2022,"citnFbxP"
"DO04FCD","Chrysler","Model 3",2023,"tUrHcfJp"
"WS12AER","Volkswagen","Civic",2015,"HqyoDNta"
"YP79BFO","Smart","Colorado",2012,"hVllQhXw"
"RN55HGX","Cadillac","Mercielago",2010,"xMZFpduW"
"UH26QIK","Volkswagen","Golf",2012,"HLNPWEny"
"XO39RNX","Dodge","Alpine",2021,"shUGOXSa"
"FJ41KVD","Bentley","Volt",2018,"AaNfxSxr"
"HS66PKN","Hyundai","Challenger",2014,"apGyVOdz"
"GB70JQH","Honda","Model 3",2011,"qVUQLuNa"
"DR31UUQ","Aston Martin","Focus",2019,"soKmGsEf"
"PP23PUX","Ford","Fiesta",2013,"sNTPnhPY"
"KZ03VIM","Volkswagen","Taurus",2017,"OfQnrqXB"
"BW50HTU","Bugatti","Challenger",2015,"nutrCZGD"
"KB79DOL","Rolls Royce","Cruze",2023,"SdZlPYTx"
"AK07EFQ","Honda","Challenger",2014,"pnQMdrgw"
"FB92UDY","Mazda","Expedition",2012,"jdtZUdiR"
"WM14BJT","Bentley","Expedition",2018,"YfLBxQTh"
"BJ27PNQ","Land Rover","Spyder",2012,"wxXYnzrj"
"XO42KYO","Porsche","CTS",2017,"KkBdnwUT"
"ER11OYK","Nissan","Fortwo",2012,"hbjGPfxw"
"AC33DDU","Mercedes Benz","Mercielago",2017,"OYymdYqM"
"JP78CLY","Land Rover","Grand Cherokee",2021,"WDkPWKCC"
"ZL79QFZ","Ford","Camry",2020,"EdscUImt"
"KW69MUT","Tesla","Model 3",2021,"jeMUheqM"
"EI99QMA","Maserati","A4",2015,"WQERQnJc"
"CU91SML","BMW","Land Cruiser",2017,"zNMnHwbz"
"EF27LSV","Mini","Aventador",2020,"vEZkufza"
"CH23WRB","Smart","Grand Cherokee",2020,"qeywYIHF"
"AU01YRD","Land Rover","Durango",2020,"TnDDPmSW"
"IF05TEX","Smart","Model X",2012,"EMUjpdpv"
"AK14AJT","Tesla","Volt",2019,"DBqyxmQX"
"EK78SIP","Volvo","Expedition",2020,"lVYKvOKw"
"XH55YZQ","Ford","A8",2023,"agePZRst"
"IG06SMI","Mazda","Ranchero",2013,"JveEIukq"
"MM34LWB","Jaguar","2",2024,"GLExfcnp"
"LF26ROW","Aston Martin","A4",2022,"nurKSURO"
"BG94XUR","Ferrari","Impala",2016,"dROJRMYB"
"XK41HLK","BMW","Altima",2014,"MWCpnbyl"
"XH21IAS","Toyota","LeBaron",2014,"vrvHwNIH"
"KZ09MVH","Land Rover","Prius",2020,"vvUnSGOP"
"RE41KBO","Hyundai","Sentra",2023,"hJEweJsZ"
"ZJ78ULI","Chrysler","A8",2019,"YcTjBOtH"
"LH91YMI","Bugatti","XTS",2023,"fsQmaKqs"
"AK40OWP","Porsche","Mustang",2015,"UBsMowgO"
"SW77BTS","Ferrari","Sentra",2014,"kKAylnlu"
"MA84ARA","Bentley","F-150",2021,"AgLspzNR"
"AJ07JIY","Honda","Altima",2015,"fSESHUBN"
"SW19FRW","Aston Martin","Accord",2015,"iNuCaGhO"
"IP83GET","Smart","Civic",2010,"bJwaQUoR"
"YI13WEV","Rolls Royce","Challenger",2012,"CLkdFJxH"
"EL02UCY","Volkswagen","Model X",2010,"OaGZCdFl"
"DT01QUH","Audi","V90",2013,"nLmQotFn"
"EY28CNK","Chevrolet","A4",2014,"SnPvyAjF"
"MV86AWI","Aston Martin","Spyder",2012,"kXBDTlgP"
"VR96LLK","Smart","Taurus",2010,"QhmHfbYt"
"DO29SJR","Chevrolet","Altima",2014,"soDEIeZE"
"KI46OEX","Chrysler","Model T",2011,"emgoalgi"
"VI80LNS","Fiat","Challenger",2023,"fKVgtXIA"
"KZ70NFK","Mini","Cruze",2022,"OatGlbBP"
"PL24RDK","Polestar","Malibu",2022,"kOjgkWjQ"
